n max_temp min_temp
330 13.6 8.7
331 11.7 10.2
332 14.3 10.7
333 11.2 8.4
334 8.4 8
335 11.9 6.7
336 11.7 1.8
337 11.4 3.3
338 8 4.4
339 10.5 5.7
340 8 3
341 6.7 3.4
342 5.3 3.9
343 5 1.9
344 3.9 1.7
345 3.2 1.7
346 2.7 -0.6
347 4.8 1.3
348 5.3 0.6
349 7.8 -4.4
350 11.2 -4.2
351 7.1 2.6
352 6.2 1.1
353 4.3 -0.8
354 1 -1.5
355 2.3 -4.6
356 10.9 -6
357 9.7 -5.7
358 8 0.8
359 8.4 1.6
360 6.5 3.3
361 5 3.9
362 4.9 2.6
363 3.9 0.3
364 3.6 1.5
365 2.5 -0.3
366 3 -1.8
367 0.8 -2.6
368 3.8 -3.8
369 5.5 -4
370 4.6 0.5
371 2 0.2
372 4.8 0.5
373 6.7 -1.2
374 8.8 1.6
375 9.1 0.8
376 9.1 3.7
377 8 3.1
378 8 -1
379 5.1 -1.8
380 3.2 -1.8
381 6.1 -4.2
382 9 -3
383 11.4 3
384 10.1 3.9
385 8.5 6.2
386 10.2 -2.1
387 10.4 -0.4
388 10.1 3
389 10.6 1.4
390 8.1 1.7
391 9.5 4.8
392 11.3 3.9
393 11.7 3.9
394 11.2 7.4
395 11.8 3.7
396 10.9 3.5
397 8.5 3.7
398 9.2 4.4
399 12.6 5.1
400 8.5 6.3
401 12.8 3.5
402 11.1 3.5
403 11 4.1
404 11.1 4.3
405 10.3 1.6
406 9.4 3
407 9.2 7.9
408 6.7 1.7
409 9.7 1.4
410 6.2 1.7
411 6.8 -2.4
412 9.4 -1.1
413 11.3 1.6
414 10 3.1
415 10.3 4.8
416 6.9 5.7
417 10 1.1
418 8 -2.8
419 10.6 -0.5
420 8.8 4.1
421 8.5 3.3
422 11.1 2.6
423 9.3 1.6
424 10.4 2.7
425 10.5 2.9
426 8.9 4.2
427 6.7 2.7
428 4 2
429 6.4 3.3
430 5.5 2.5
431 7.6 2
432 2.6 0.5
433 4.7 2.2
434 3.2 0.4
435 8.4 -1
436 10.1 -5.1
437 11.7 0.4
438 12.7 4.3
439 11.4 3.7
440 13.3 2.6
441 13.7 4.8
442 11.6 6.5
443 10.5 6.7
444 11.1 1
445 13.9 5.8
446 13.2 7.2
447 12.6 2.4
448 13.6 2.7
449 12.6 0.8
450 12.2 2.8
451 14.6 5.5
452 10.4 1.6
453 12 4
454 12.2 2.2
455 14.6 4.9
456 17 2.5
457 20 4
458 21.3 7.1
459 20.8 7.7
460 19.3 8.4
461 17.4 9
462 18.3 10.5
463 14.8 7.4
464 9.1 9.4
465 12.8 3.6
466 11.3 2.7
467 12.3 7.5
468 13.8 6.5
469 11.8 6.5
470 9.5 7.2
471 11.7 2.2
472 11.5 5.4
473 11.6 7.2
474 12.5 5.6
475 17.5 6
476 14 6.4
477 12.5 8.7
478 16.2 8.3
479 12.3 4.5
480 13.4 5.1
481 11.1 2.9
482 11.6 3.2
483 13.6 4.4
484 19.3 0.5
485 21.1 2.9
486 26.2 7.7
487 23.6 10.4
488 20.9 12
489 18.9 10.6
490 21.1 9.7
491 21.2 7.4
492 22.5 6.4
493 24.2 8.1
494 12.6 8.8
495 21.1 11.1
496 15.9 10
497 12.9 9.7
498 14.1 7.2
499 16.6 9.5
500 18.7 9.2
501 19.5 8.4
502 18.4 9.1
503 14.9 7.4
504 16.6 8.9
505 12.2 3.9
506 17.9 8.3
507 18 9.1
508 25.6 9.6
509 29 13.6
510 27 14.6
511 21.1 17
512 19.7 9.9
513 19.1 8.1
514 20.8 8.9
515 18.3 7.5
516 18.5 13.4
517 23.2 12.3
518 23.5 11.2
519 19.4 14
520 20.1 13.8
521 18.3 12.1
522 17 13.1
523 20.2 10.5
524 17.7 9.7
525 17 14.2
526 18.6 8.9
527 15.5 10.1
528 15.1 10
529 17 8
530 19.2 10.2
531 19.4 7.3
532 18.1 10.9
533 18.7 9.3
534 20 10.3
535 19.4 9
536 16 9
537 21.1 10
538 21.8 10.1
539 18.5 11.6
540 19.3 12.1
541 18.2 9.8
542 17.5 11.4
543 15.6 11.9
544 14.9 11.8
545 15.3 11.6
546 19.4 9.6
547 17.6 9.4
548 17.7 11.7
549 15.3 11
550 16.9 13
551 19 9.4
552 16.8 10.1
553 18.3 9.6
554 20 13.2
555 17.3 13.8
556 19.8 12.8
557 21.7 7.8
558 24.8 9.6
559 24.2 11.7
560 27.8 10.6
561 20.7 14.5
562 21.2 18.9
563 25 13.7
564 25.7 11.7
565 21.4 18
566 22 14.1
567 23 13.9
568 25.2 13.1
569 23.3 14
570 21.6 15.9
571 21 16.7
572 21.9 15
573 25.2 14.6
574 17.4 16.3
575 22.1 14.6
576 24.4 13.9
577 20.3 13.3
578 19.8 15.3
579 24.6 11.2
580 24.8 12.6
581 23.3 17
582 23.9 18
583 22.4 12.5
584 22.3 13.7
585 20.2 13.9
586 24.5 11.6
587 21 12.4
588 18 15.2
589 18.3 9.7
590 19.8 7.2
591 21 9.3
592 22.6 8.5
593 24.3 12.3
594 23 11.2
595 19.6 13.4
596 20.4 15.9
597 19.9 13.7
598 22 10.8
599 22.4 9.4
600 25 10.1
601 20.3 10.3
602 18.9 11.6
603 21.8 13.2
604 23.1 10
605 22.1 10.5
606 17.7 12.3
607 20.1 8.4
608 19.3 12.2
609 20.4 14
610 19.2 15.3
611 21.5 10.7
612 20 13
613 20.2 13.7
614 19 14.8
615 18.7 11.2
616 21.5 12.8
617 19.7 15.7
618 19.6 15.2
619 19.7 15.5
620 20.1 11.2
621 18.9 11.9
622 19.8 12.4
623 20.3 9
624 18.2 9.4
625 16.6 13
626 17.8 10
627 19.1 12.6
628 18.4 11
629 16.6 6.2
630 17.5 5.6
631 15.7 4.6
632 15.4 8.6
633 16.4 4.2
634 13.4 8
635 13.6 8.6
636 13.5 6.5
637 9.7 2.2
638 13.4 1.4
639 13.4 5.9
640 13.7 5.5
641 12.8 0.1
642 13.6 4.1
643 12.5 4.5
644 10.6 7.7
645 9.8 6.8
646 13 3.6
647 12.7 1
648 16.3 6.8
649 15.5 5.8
650 14.6 10
651 14.1 7.9
652 10.5 3.5
653 16.4 7
654 17.7 7.5
6522.2 12.5
23.6 9.1
21.6 11.1
19.9 14
20 14.6
22.8 8.5
20.5 12.5
22.5 12.7
24.9 12.5
26.6 12.3
27.9 14.1
27 12.1
22 14.4
22.7 15.5
21.1 13.6
19.2 12.9
21 12.9
22.1 10.6
23 10.6
24.3 8.9
24.8 9.3
22 10.2
24.5 13.7
24 15.3
25.5 11.6
22.2 13
18.1 11.7
19.1 11.7
18.2 7.8
21.2 7.4
18.6 13.4
20.4 14.4
19.8 13.7
19 14.2
18.2 10.5
20.3 12.5
19.7 11.7
18.8 12.5
17.7 7.2
18.1 13.1
15.5 11
17.9 12.6
17.6 10.6
17.2 7.4
19.6 6.7
20 11.8
15.1 15.6
12 12.9
15.2 4.3
16.1 7.3
16.9 11
15 8.6
17.3 7.8

695 3.6 3
696 4.3 -1.1
697 8 -4.7
698 12 -3.1
699 12.1 1.5
700 12.6 8
701 13.3 8.1
702 13.3 9
703 6.8 7.8
704 9.2 4.1
705 11.5 0.8
706 6.6 2
707 6.8 1.9
708 7.5 -2.4
709 9 0.8
710 12.3 1.9
711 13.1 2.8
712 12.3 8.6
713 8.5 9.8
714 5.8 7.1
715 5 0.4
716 9 -1
717 10 -2.3
718 9.7 2.5
719 11.1 8.3
720 9 7.3
721 11.9 3.9
722 11.9 4.4
723 6.6 8.9
724 6.4 1.2
725 6.4 -2.3
726 5.5 -1.6
727 9.4 0.3
728 9.4 0.9
729 4.1 5.1
730 4.6 1.3
731 5.6 0.2
732 7.5 -1.9
733 10.4 -1.7
734 5.2 -1.8
735 8.5 1.8
736 7.8 -2.4
737 6.9 0.5
738 7.9 -1.1
739 5.9 0.6
740 11 3.5
741 10.9 2.3
742 12.5 4.7
743 10.8 7.9
744 9.6 7.9
745 8.6 1.7
746 11.1 4
747 8.8 5.6
748 8.2 5.7
749 2.5 5.9
750 5.7 -2.3
751 12.5 -2.4
752 10.9 -3.7
753 10.2 -2.1
754 6.9 0.4
755 10.2 2.4
756 13.9 -1.1
757 12.1 2.7
758 12.5 8.4
759 9 8.6
760 6.2 8.3
761 6.3 1
762 6.2 -2.7
763 5.7 -1.5
764 5 -1.2
765 4.8 -4.5
766 8 -5.5
767 6.8 -4
768 4.7 -1
769 3.8 -0.3
770 4.4 1.1
771 3.7 0.4
772 4.8 -4
773 4.1 -1.8
774 3.9 0.1
775 2.7 -1.4
776 2.2 0.5
777 6.8 -1.6
778 11 -0.6
779 11.1 0.8
780 8.8 4.9
781 6 5.3
782 3.9 5.4
783 9 1.6
784 14.1 0.4
785 13.1 3.3
786 13.6 6.9
787 11.9 10.3
788 14.8 10.7
789 14.4 10.6
790 14 10.9
791 12.9 8.9
792 11.2 6.6
793 10 5.5
794 9.5 5.9
795 6.6 3.6
796 11.7 0.4
797 10.7 -0.2
798 13.9 5.4
799 12.7 7.3
800 10 9.2
801 14.5 8.7
802 12.9 2.6
803 14.3 9.1
804 14.9 11
805 14.9 9.6
806 18.3 4.5
807 13.5 9.5
808 9 9.5
809 9 7.5
810 10.4 5.9
811 13.2 5.9
812 12.5 3.4
813 7.8 6.2
814 8.6 4.6
815 11.7 5.7
816 13.1 4.9
817 17.2 3.6
818 19.9 6.2
819 21.7 8.8
820 19.7 8.2
821 17.1 12.5
822 12.4 8.6
823 16.5 8.4
824 18.2 6.3
825 15.3 6.1
826 12 4.6
827 12.3 3.2
828 9.8 2.5
829 11.3 2.8
830 10.7 3.9
831 10.6 1.8
832 9.1 1.8
833 7.6 0.5
834 7 2.4
835 9.5 2.4
836 10 0.8
837 10.4 3.9
838 14.6 -0.6
839 15.6 6
840 10.6 10.2
841 10.6 8.7
842 9.2 5
843 12.2 0.1
844 13.3 4.9
845 16.2 1.4
846 19.7 7.9
847 18.5 6.6
848 16.5 9.5
849 15.3 8.6
850 21.6 12.7
851 18.6 10.7
852 16.2 10
853 16.4 8.7
854 18.2 10.2
855 15.1 7
856 14 9
857 15.6 8.4
858 18.5 6.2
859 21.7 10.5
860 17.7 12
861 16.6 10.1
862 14.6 8.3
863 15.2 10.7
864 13 7.4
865 15.4 7.5
866 16.4 6.2
867 15.7 8.1
868 16.8 9.4
869 19.2 10.8
870 21.8 11.4
871 22.4 13.1
872 19.2 11.5
873 19.7 14.8
874 17.2 9.9
875 17.2 8.7
876 18.4 9.9
877 16.4 10.6
878 18.5 9.4
879 17.2 13
880 17.8 12
881 18.7 8.4
882 17.3 11
883 21.9 10.6
884 27 10.1
885 21.1 12.6
886 17 15
887 14 8.6
888 17.9 10.9
889 15.7 7.2
890 18.6 9.4
891 18 11.7
892 22.8 10.8
893 21.6 8.8
894 18 12.7
895 16 12.8
896 14.4 10.9
897 15.6 10.1
898 14.4 8.5
899 19.1 7.6
900 21.8 5.5
901 21 9.5
902 18.2 11.5
903 18 9.1
904 19.4 9.9
905 21.6 10.5
906 22.6 13
907 24.6 14.4
908 27.8 14.3
909 27.4 13.7
910 21.5 17.4
911 23.1 15.7
912 20.9 12.5
913 22.9 13.1
914 23 14.6
915 22.6 14
916 21.5 14.6
917 18 12.6
918 20.1 9
919 22.9 11.2
920 24.3 8.8
921 25.2 14.6
922 18.4 15.6
923 17.6 13.4
924 16 11.6
925 17.5 11.5
926 24.6 9.2
927 24.8 11.9
928 26.4 14
929 24 14.8
930 23.4 14.6
931 21.6 13
932 17.4 12.5
933 21.2 10.4
934 25.9 9.6
935 27 9.8
936 28.8 14.8
937 19.2 16.7
938 18.2 15.6
939 19.8 15.3
940 17.8 15
941 20.3 14.5
942 23.7 13.8
943 25.6 9.5
944 24.4 11.8
945 26.2 12.3
946 26.3 13.8
947 21 17.8
948 22.2 12.5
949 23.6 9.1
950 21.6 11.1
951 19.9 14
952 20 14.6
953 22.8 8.5
954 20.5 12.5
955 22.5 12.7
956 24.9 12.5
957 26.6 12.3
958 27.9 14.1
959 27 12.1
960 22 14.4
961 22.7 15.5
962 21.1 13.6
963 19.2 12.9
964 21 12.9
965 22.1 10.6
966 23 10.6
967 24.3 8.9
968 24.8 9.3
969 22 10.2
970 24.5 13.7
971 24 15.3
972 25.5 11.6
973 22.2 13
974 18.1 11.7
975 19.1 11.7
976 18.2 7.8
977 21.2 7.4
978 18.6 13.4
979 20.4 14.4
980 19.8 13.7
981 19 14.2
982 18.2 10.5
983 20.3 12.5
984 19.7 11.7
985 18.8 12.5
986 17.7 7.2
987 18.1 13.1
988 15.5 11
989 17.9 12.6
990 17.6 10.6
991 17.2 7.4
992 19.6 6.7
993 20 11.8
994 15.1 15.6
995 12 12.9
996 15.2 4.3
997 16.1 7.3
998 16.9 11
999 15 8.6
1000 17.3 7.8
